,epoch,batch loss,batch acc,train loss,train acc,val loss,val acc
0,0,0.0016441119369119406,0.09375,,,,
1,0,0.0006880783475935459,0.125,,,,
2,0,0.0008247104124166071,0.09375,,,,
3,0,0.0011972018983215094,0.0,,,,
4,0,,,0.0010885256488109007,0.078125,0.00016406475333496928,0.3
5,1,0.0008865443523973227,0.125,,,,
6,1,0.0005756369791924953,0.0625,,,,
7,1,0.00046364989248104393,0.125,,,,
8,1,0.0011137117398902774,0.0,,,,
9,1,,,0.0007598857409902848,0.078125,0.0002921053965110332,0.25
10,2,0.0005867356085218489,0.0,,,,
11,2,0.0005048011080361903,0.125,,,,
12,2,0.00032318889861926436,0.125,,,,
13,2,3.408588963793591e-05,0.25,,,,
14,2,,,0.00036220287620380986,0.125,0.000296945363515988,0.25
15,3,0.00033358350628986955,0.03125,,,,
16,3,0.0003286380087956786,0.1875,,,,
17,3,0.0001291148510063067,0.09375,,,,
18,3,0.0003042726020794362,0.0,,,,
19,3,,,0.00027390224204282276,0.078125,1.2043396964145359e-05,0.25
20,4,9.193197183776647e-05,0.125,,,,
21,4,0.00025164277758449316,0.125,,,,
22,4,0.00026490705204196274,0.15625,,,,
23,4,0.00015451951185241342,0.0,,,,
24,4,,,0.00019075032832915895,0.1015625,-4.083236490259878e-05,0.3
25,5,0.00014776935859117657,0.09375,,,,
26,5,0.00018348614685237408,0.125,,,,
27,5,0.0001665639429120347,0.09375,,,,
28,5,0.000520512810908258,0.0,,,,
29,5,,,0.0002545830648159608,0.078125,-1.644279166157503e-07,0.2
30,6,7.954732427606359e-05,0.15625,,,,
31,6,7.870008994359523e-05,0.1875,,,,
32,6,0.00016976799815893173,0.15625,,,,
33,6,5.308277832227759e-05,0.25,,,,
34,6,,,9.527454767521704e-05,0.1875,0.000152543667354621,0.2
35,7,9.719836089061573e-05,0.25,,,,
36,7,0.0001930227008415386,0.0625,,,,
37,7,0.00022297001851256937,0.21875,,,,
38,7,1.2934378901263699e-05,0.25,,,,
39,7,,,0.00013153136478649685,0.1953125,0.00011113419895991683,0.2
40,8,0.00012551178224384785,0.09375,,,,
41,8,0.00016771121590863913,0.09375,,,,
42,8,9.842883446253836e-05,0.1875,,,,
43,8,5.8651668950915337e-05,0.25,,,,
44,8,,,0.00011257587539148517,0.15625,0.00035938865039497614,0.15
45,9,0.0001408576499670744,0.125,,,,
46,9,0.00030988335493020713,0.125,,,,
47,9,0.00020519839017651975,0.09375,,,,
48,9,2.7940499421674758e-05,0.25,,,,
49,9,,,0.000170969973623869,0.1484375,1.6286950994981453e-05,0.25
50,10,0.00015831479686312377,0.15625,,,,
51,10,0.0002138482959708199,0.0625,,,,
52,10,0.00035957066575065255,0.03125,,,,
53,10,0.0001346542703686282,0.0,,,,
54,10,,,0.0002165970072383061,0.0625,8.484686986776069e-05,0.15
55,11,0.00022310430358629674,0.0625,,,,
56,11,0.0002022330299951136,0.0625,,,,
57,11,3.137780004180968e-05,0.25,,,,
58,11,0.00015302523388527334,0.0,,,,
59,11,,,0.00015243509187712334,0.09375,1.2538139344542287e-05,0.3
60,12,9.967705409508198e-05,0.1875,,,,
61,12,0.00014829322753939778,0.09375,,,,
62,12,6.641513027716428e-05,0.21875,,,,
63,12,0.0003906114725396037,0.25,,,,
64,12,,,0.00017624922111281194,0.1875,7.946330879349262e-05,0.15
65,13,6.006272815284319e-05,0.125,,,,
66,13,0.0001746254856698215,0.1875,,,,
67,13,0.00020061733084730804,0.125,,,,
68,13,0.0002542916627135128,0.0,,,,
69,13,,,0.00017239930184587138,0.109375,0.0001597265072632581,0.1
70,14,0.0002135326649295166,0.15625,,,,
71,14,0.00023521561524830759,0.125,,,,
72,14,0.0002179612492909655,0.0625,,,,
73,14,0.00015462464943993837,0.0,,,,
74,14,,,0.00020533354472718202,0.0859375,0.00023797297035343945,0.2
75,15,0.00021573322010226548,0.25,,,,
76,15,0.00025344418827444315,0.125,,,,
77,15,0.00021562872279901057,0.09375,,,,
78,15,0.00015733322652522475,0.5,,,,
79,15,,,0.000210534839425236,0.2421875,0.00031008824589662254,0.1
80,16,9.938114817487076e-05,0.15625,,,,
81,16,0.00017244434275198728,0.125,,,,
82,16,0.00022081061615608633,0.0625,,,,
83,16,0.00011198035645065829,0.25,,,,
84,16,,,0.00015115411588340066,0.1484375,0.00016696323291398585,0.05
85,17,0.0001616009685676545,0.0625,,,,
86,17,0.00010224027209915221,0.15625,,,,
87,17,3.6192621337249875e-05,0.09375,,,,
88,17,7.413469575112686e-05,0.0,,,,
89,17,,,9.354213943879586e-05,0.078125,0.0003147574025206268,0.1
90,18,3.0196832085493952e-05,0.09375,,,,
91,18,4.5478547690436244e-05,0.15625,,,,
92,18,0.00014650647062808275,0.1875,,,,
93,18,0.00011560287384781986,0.0,,,,
94,18,,,8.44461810629582e-05,0.109375,7.294968963833526e-05,0.2
95,19,9.427372424397618e-05,0.15625,,,,
96,19,4.516238550422713e-05,0.15625,,,,
97,19,0.00010945955727947876,0.15625,,,,
98,19,0.00019930058624595404,0.0,,,,
99,19,,,0.00011204906331840903,0.1171875,5.623966899293009e-06,0.2
100,20,2.599078470666427e-05,0.1875,,,,
101,20,6.397542165359482e-05,0.15625,,,,
102,20,8.711323607712984e-05,0.21875,,,,
103,20,3.354573709657416e-05,0.0,,,,
104,20,,,5.265629488349077e-05,0.140625,1.1575421012821607e-05,0.25
105,21,1.0370826203143224e-05,0.1875,,,,
106,21,-9.570327165420167e-06,0.21875,,,,
107,21,4.6028304495848715e-05,0.1875,,,,
