,epoch,train loss,train acc,val loss,val acc
0,0,0.003810088848695159,0.25,0.0017657630378380418,0.15
1,1,0.0016606051940470934,0.15,0.0031361528672277927,0.2
2,2,0.0037031606771051884,0.2,0.0005152843659743667,0.15
3,3,0.0002782611991278827,0.25,0.0011580710997805,0.1
4,4,0.000426449638325721,0.25,0.0010220016120001674,0.25
5,5,0.00034862858592532575,0.25,0.0009609378175809979,0.15
6,6,0.00042309571290388703,0.25,0.0009804879082366824,0.15
7,7,9.712762403069064e-05,0.2,0.0011030121240764856,0.15
8,8,0.00012967413931619376,0.2,0.0009995483560487628,0.15
9,9,0.000227244570851326,0.15,0.0009210403077304363,0.15
10,10,0.0001464036904508248,0.15,0.0007569011650048196,0.1
11,11,-0.0002968676562886685,0.2,0.000623619242105633,0.1
12,12,-0.00041536311618983746,0.15,0.0007084160461090505,0.1
13,13,-0.00047124564298428595,0.25,0.0008093817159533501,0.1
14,14,-0.000576479360461235,0.35,0.0008629992953501642,0.15
15,15,-0.0006987652159295976,0.25,0.0009674096363596618,0.15
16,16,-0.000946042244322598,0.25,0.0009428973426111042,0.15
17,17,-0.0012302895775064826,0.3,0.0008750214474275708,0.15
18,18,-0.0011595782125368714,0.3,0.0007956764893606305,0.1
19,19,-0.001133497804403305,0.35,0.0007803139742463827,0.2
20,20,-0.001145494170486927,0.25,0.0008358909981325269,0.15
21,21,-0.001241918420419097,0.3,0.0009230166906490922,0.1
22,22,-0.0013215461513027549,0.3,0.0010490716667845845,0.1
23,23,-0.001460638246499002,0.4,0.0011413322063162923,0.15
24,24,-0.0015814887592568994,0.35,0.0010935051832348108,0.15
25,25,-0.0017098141834139824,0.35,0.000973046466242522,0.1
26,26,-0.0018197071040049195,0.3,0.0007178213563747704,0.1
27,27,-0.001952885533683002,0.3,0.0004895226447843015,0.15
28,28,-0.0016084130620583892,0.15,0.00038761182804591954,0.15
29,29,-0.0016933324513956904,0.15,0.0005748294643126428,0.15
